Model File,Model Type,Hyperparameters,Accuracy,Recall,F1 Macro,Saved At,Num Records
cnn1d_w30_f16_h128_20260409_172030,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, num_filters=16, hidden_size=128, step_size=None, test_size=0.2, seed=42",0.842539,0.798842,0.679815,2026-04-09T17:20:30,994
cnn1d_w30_f16_h64_20260409_172024,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, num_filters=16, hidden_size=64, step_size=None, test_size=0.2, seed=42",0.863021,0.787241,0.695078,2026-04-09T17:20:24,994
cnn1d_w30_f32_h128_20260409_171958,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, num_filters=32, hidden_size=128, step_size=None, test_size=0.2, seed=42",0.83897,0.788475,0.672877,2026-04-09T17:19:58,994
cnn1d_w30_f32_h64_20260409_171950,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, num_filters=32, hidden_size=64, step_size=None, test_size=0.2, seed=42",0.913102,0.5,0.477289,2026-04-09T17:19:50,994
cnn1d_w60_f16_h128_20260409_172130,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, num_filters=16, hidden_size=128, step_size=None, test_size=0.2, seed=42",0.852862,0.842819,0.658826,2026-04-09T17:21:30,994
cnn1d_w60_f16_h64_20260409_172129,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, num_filters=16, hidden_size=64, step_size=None, test_size=0.2, seed=42",0.837828,0.837921,0.643482,2026-04-09T17:21:29,994
cnn1d_w60_f32_h128_20260409_171836,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, num_filters=32, hidden_size=128, step_size=None, test_size=0.2, seed=42",0.906126,0.796374,0.703996,2026-04-09T17:18:36,994
cnn1d_w60_f32_h64_20260409_171836,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, num_filters=32, hidden_size=64, step_size=None, test_size=0.2, seed=42",0.667151,0.711493,0.501291,2026-04-09T17:18:36,994
fc_w30_128x64_20260409_172136,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_sizes=[128, 64], dropout=0.2, step_size=None, test_size=0.2, seed=42",0.80963,0.81691,0.657781,2026-04-09T17:21:36,994
fc_w30_128x64_20260409_172138,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_sizes=[128, 64], dropout=0.3, step_size=None, test_size=0.2, seed=42",0.807236,0.818446,0.656341,2026-04-09T17:21:38,994
fc_w30_256x128_20260409_172314,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_sizes=[256, 128], dropout=0.2, step_size=None, test_size=0.2, seed=42",0.815955,0.818461,0.663431,2026-04-09T17:23:14,994
fc_w30_256x128_20260409_172320,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_sizes=[256, 128], dropout=0.3, step_size=None, test_size=0.2, seed=42",0.807993,0.819228,0.657191,2026-04-09T17:23:20,994
fc_w60_128x64_20260409_172232,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_sizes=[128, 64], dropout=0.3, step_size=None, test_size=0.2, seed=42",0.847706,0.858596,0.658555,2026-04-09T17:22:32,994
fc_w60_256x128_20260409_172329,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_sizes=[256, 128], dropout=0.2, step_size=None, test_size=0.2, seed=42",0.86036,0.855827,0.67018,2026-04-09T17:23:29,994
fc_w60_256x128_20260409_172330,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_sizes=[256, 128], dropout=0.3, step_size=None, test_size=0.2, seed=42",0.858645,0.855517,0.668348,2026-04-09T17:23:30,994
rnn_w30_h128_l1_20260409_172717,RNN,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_size=128, num_layers=1, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.817457,0.820261,0.665248,2026-04-09T17:27:17,994
rnn_w30_h128_l2_20260409_172927,RNN,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_size=128, num_layers=2, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.806363,0.820489,0.656277,2026-04-09T17:29:27,994
rnn_w30_h64_l1_20260409_172602,RNN,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_size=64, num_layers=1, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.800174,0.820173,0.651287,2026-04-09T17:26:02,994
rnn_w30_h64_l2_20260409_172750,RNN,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_size=64, num_layers=2, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.799799,0.821285,0.651332,2026-04-09T17:27:50,994
rnn_w60_h128_l1_20260409_172534,RNN,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_size=128, num_layers=1, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.861569,0.859907,0.672639,2026-04-09T17:25:34,994
rnn_w60_h128_l2_20260409_172730,RNN,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_size=128, num_layers=2, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.877452,0.853785,0.687971,2026-04-09T17:27:30,994
rnn_w60_h64_l1_20260409_172450,RNN,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_size=64, num_layers=1, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.872895,0.85553,0.683394,2026-04-09T17:24:50,994
rnn_w60_h64_l2_20260409_172527,RNN,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, hidden_size=64, num_layers=2, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.86635,0.859183,0.67742,2026-04-09T17:25:27,994
