Model File,Model Type,Hyperparameters,Balanced Accuracy,Accuracy,Recall,F1 Macro,TN,FP,FN,TP,Saved At,Num Records
fc_w30_128x64_d0p2_pw10_20260415_094652,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.824781,0.811131,0.824781,0.670883,0.8079673952131697,0.19203260478683024,0.15840441223625987,0.8415955877637401,2026-04-15T09:46:52,715
fc_w30_128x64_d0p2_pw15_20260415_094656,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.824539,0.80197,0.824539,0.663409,0.7967395213169777,0.20326047868302233,0.1476624126210479,0.852337587378952,2026-04-15T09:46:56,715
fc_w30_128x64_d0p3_pw10_20260415_094648,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.824893,0.808808,0.824893,0.669021,0.8050805130459104,0.1949194869540896,0.15529404219842238,0.8447059578015776,2026-04-15T09:46:48,715
fc_w30_128x64_d0p3_pw15_20260415_094640,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.825281,0.799852,0.825281,0.661958,0.7939591907406668,0.20604080925933324,0.14339767844545628,0.8566023215545437,2026-04-15T09:46:40,715
fc_w30_256x128_d0p2_pw10_20260415_094650,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.825013,0.807879,0.825013,0.668303,0.8039084455454776,0.19609155445452245,0.1538831526967229,0.8461168473032771,2026-04-15T09:46:52,715
fc_w30_256x128_d0p2_pw15_20260415_094634,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.824745,0.795861,0.824745,0.658659,0.789167698885204,0.21083230111479603,0.13967806066824856,0.8603219393317514,2026-04-15T09:46:34,715
fc_w30_256x128_d0p3_pw10_20260415_094642,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.3, step_size=None",0.825513,0.804959,0.825513,0.6661,0.8001957885483678,0.19980421145163224,0.1491694991342269,0.850830500865773,2026-04-15T09:46:42,715
fc_w30_256x128_d0p3_pw15_20260415_094644,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.3, step_size=None",0.825124,0.798085,0.825124,0.660516,0.7918181697100465,0.20818183028995352,0.1415699352273456,0.8584300647726544,2026-04-15T09:46:44,715
fc_w60_128x64_d0p2_pw10_20260415_094525,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.867361,0.854938,0.867361,0.68308,0.8530085700230433,0.14699142997695674,0.11828633015987067,0.8817136698401293,2026-04-15T09:45:25,715
fc_w60_128x64_d0p2_pw15_20260415_094523,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.867098,0.822963,0.867098,0.653317,0.8161069828858453,0.1838930171141548,0.08191126279863481,0.9180887372013652,2026-04-15T09:45:23,715
fc_w60_128x64_d0p3_pw10_20260415_094523,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.865992,0.856659,0.865992,0.684414,0.855209331227507,0.14479066877249308,0.12322615412250763,0.8767738458774924,2026-04-15T09:45:23,715
fc_w60_128x64_d0p3_pw15_20260415_094524,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.86545,0.825408,0.86545,0.654976,0.8191880485720944,0.18081195142790565,0.08828812645949344,0.9117118735405065,2026-04-15T09:45:24,715
fc_w60_256x128_d0p2_pw10_20260415_094524,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.867191,0.848013,0.867191,0.676191,0.8450340470703984,0.15496595292960152,0.11065205676306808,0.8893479432369319,2026-04-15T09:45:25,715
fc_w60_256x128_d0p2_pw15_20260415_094523,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.866952,0.8251,0.866952,0.655125,0.8185990213085467,0.18140097869145327,0.08469552721393929,0.9153044727860608,2026-04-15T09:45:23,715
