Model File,Model Type,Hyperparameters,Balanced Accuracy,Accuracy,Recall,F1 Macro,TN,FP,FN,TP,Saved At,Num Records
cnn1d_w30_f16_h128_20260415_095219,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, num_filters=16, hidden_size=128, step_size=None",0.813626,0.819164,0.813626,0.673946,0.8204472503030061,0.17955274969699392,0.19319566472134933,0.8068043352786507,2026-04-15T09:52:19,715
cnn1d_w30_f16_h64_20260415_095226,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, num_filters=16, hidden_size=64, step_size=None",0.807414,0.811761,0.807414,0.665809,0.8127688762802839,0.18723112371971604,0.1979413839543385,0.8020586160456615,2026-04-15T09:52:26,715
cnn1d_w30_f32_h128_20260415_095147,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, num_filters=32, hidden_size=128, step_size=None",0.778082,0.868683,0.778082,0.70657,0.8896791465217565,0.1103208534782435,0.3335150387994613,0.6664849612005387,2026-04-15T09:51:47,715
cnn1d_w30_f32_h64_20260415_095142,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, num_filters=32, hidden_size=64, step_size=None",0.5,0.905927,0.5,0.475321,1.0,0.0,1.0,0.0,2026-04-15T09:51:42,715
cnn1d_w60_f16_h128_20260415_095319,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, num_filters=16, hidden_size=128, step_size=None",0.814226,0.899786,0.814226,0.717084,0.9130764052507573,0.08692359474924267,0.2846236752290282,0.7153763247709718,2026-04-15T09:53:19,715
cnn1d_w60_f16_h64_20260415_095325,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, num_filters=16, hidden_size=64, step_size=None",0.623727,0.9289,0.623727,0.650688,0.9763029800895839,0.023697019910416072,0.7288485719417999,0.2711514280582001,2026-04-15T09:53:25,715
cnn1d_w60_f32_h128_20260415_095025,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, num_filters=32, hidden_size=128, step_size=None",0.751903,0.815548,0.751903,0.611948,0.8254343266965279,0.17456567330347203,0.321627447458236,0.678372552541764,2026-04-15T09:50:25,715
cnn1d_w60_f32_h64_20260415_095028,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, num_filters=32, hidden_size=64, step_size=None",0.5,0.932776,0.5,0.48261,1.0,0.0,1.0,0.0,2026-04-15T09:50:28,715
rnn_w30_h128_l1_20260415_095113,RNN,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_size=128, num_layers=1, dropout=0.3, step_size=None",0.826729,0.815076,0.826729,0.674759,0.8123759672886616,0.18762403271133843,0.15891746296415057,0.8410825370358495,2026-04-15T09:51:13,715
rnn_w30_h128_l2_20260415_095346,RNN,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_size=128, num_layers=2, dropout=0.3, step_size=None",0.826368,0.808772,0.826368,0.669451,0.8046942635287223,0.1953057364712777,0.15195921246713268,0.8480407875328673,2026-04-15T09:53:46,715
rnn_w30_h64_l1_20260415_095136,RNN,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_size=64, num_layers=1, dropout=0.3, step_size=None",0.825662,0.800465,0.825662,0.662559,0.7946251381840945,0.2053748618159055,0.14330148143397678,0.8566985185660232,2026-04-15T09:51:36,715
rnn_w30_h64_l2_20260415_095439,RNN,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_size=64, num_layers=2, dropout=0.3, step_size=None",0.82536,0.791041,0.82536,0.655108,0.7830875987267085,0.2169124012732915,0.1323670877958058,0.8676329122041941,2026-04-15T09:54:39,715
rnn_w60_h128_l1_20260415_095012,RNN,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_size=128, num_layers=1, dropout=0.3, step_size=None",0.869897,0.852517,0.869897,0.681403,0.849817466276571,0.15018253372342905,0.1100233518950961,0.8899766481049038,2026-04-15T09:50:12,715
rnn_w60_h128_l2_20260415_095201,RNN,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_size=128, num_layers=2, dropout=0.3, step_size=None",0.865078,0.872212,0.865078,0.700683,0.8733203013748285,0.12667969862517153,0.1431650799353332,0.8568349200646668,2026-04-15T09:52:01,715
rnn_w60_h64_l1_20260415_094919,RNN,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_size=64, num_layers=1, dropout=0.3, step_size=None",0.869672,0.854353,0.869672,0.683172,0.8519729176915309,0.14802708230846906,0.11262798634812286,0.8873720136518771,2026-04-15T09:49:19,715
rnn_w60_h64_l2_20260415_094959,RNN,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_size=64, num_layers=2, dropout=0.3, step_size=None",0.872039,0.852082,0.872039,0.681595,0.8489824715842892,0.15101752841571084,0.10490389797018143,0.8950961020298186,2026-04-15T09:49:59,715
