Model File,Model Type,Hyperparameters,Balanced Accuracy,Accuracy,Recall,F1 Macro,TN,FP,FN,TP,Saved At,Num Records
knn_k101_norm_20260415_111522,KNN,"n_neighbors=101, use_normalized=True",0.592533,0.913279,0.592533,0.627794,0.9892047355137975,0.010795264486202532,0.8041394083859248,0.19586059161407524,2026-04-15T11:15:23,815
knn_k11_norm_20260415_111354,KNN,"n_neighbors=11, use_normalized=True",0.610755,0.908087,0.610755,0.643335,0.9784694817628486,0.02153051823715131,0.7569593934748139,0.24304060652518614,2026-04-15T11:13:56,815
knn_k15_norm_20260415_111409,KNN,"n_neighbors=15, use_normalized=True",0.607029,0.909312,0.607029,0.6406,0.9808665772432624,0.019133422756737593,0.7668091272799824,0.23319087272001765,2026-04-15T11:14:10,815
knn_k201_norm_20260415_111622,KNN,"n_neighbors=201, use_normalized=True",0.586601,0.913021,0.586601,0.620341,0.9902893739880134,0.009710626011986589,0.8170868729720364,0.18291312702796358,2026-04-15T11:16:23,815
knn_k21_norm_20260415_111419,KNN,"n_neighbors=21, use_normalized=True",0.604608,0.911064,0.604608,0.639617,0.983605956176605,0.016394043823395075,0.774390692106562,0.22560930789343805,2026-04-15T11:14:20,815
knn_k3_norm_20260415_111338,KNN,"n_neighbors=3, use_normalized=True",0.61763,0.887161,0.61763,0.63189,0.9509623388183887,0.049037661181611375,0.715701819785574,0.284298180214426,2026-04-15T11:13:39,815
knn_k51_norm_20260415_111446,KNN,"n_neighbors=51, use_normalized=True",0.598004,0.913207,0.598004,0.634163,0.9878200433633127,0.01217995663668723,0.7918114899560017,0.20818851004399827,2026-04-15T11:14:47,815
knn_k5_norm_20260415_111343,KNN,"n_neighbors=5, use_normalized=True",0.614232,0.894499,0.614232,0.634803,0.9608418839370154,0.0391581160629846,0.7323770620911257,0.2676229379088742,2026-04-15T11:13:45,815
knn_k7_norm_20260415_111341,KNN,"n_neighbors=7, use_normalized=True",0.613568,0.902578,0.613568,0.641107,0.970990366054372,0.02900963394562805,0.743854417154078,0.25614558284592204,2026-04-15T11:13:42,815
svm_C0p01_norm_20260415_111227,SVM,"C=0.01, use_normalized=True",0.709683,0.741082,0.709683,0.585483,0.7485139008200355,0.2514860991799644,0.32914702145309827,0.6708529785469017,2026-04-15T11:12:27,815
svm_C0p01_raw_20260415_111235,SVM,"C=0.01, use_normalized=False",0.72886,0.780833,0.72886,0.617356,0.7931352164109358,0.20686478358906427,0.33541598849114257,0.6645840115088574,2026-04-15T11:12:35,815
svm_C0p1_norm_20260415_111227,SVM,"C=0.1, use_normalized=True",0.709611,0.740874,0.709611,0.585334,0.7482738578790206,0.25172614212097943,0.3290525144123237,0.6709474855876763,2026-04-15T11:12:27,815
svm_C0p1_raw_20260415_111238,SVM,"C=0.1, use_normalized=False",0.728816,0.780762,0.728816,0.617293,0.7930585360270004,0.20694146397299962,0.33542648927345087,0.6645735107265491,2026-04-15T11:12:38,815
svm_C10p0_norm_20260415_111229,SVM,"C=10.0, use_normalized=True",0.709617,0.740859,0.709617,0.585328,0.7482549656105147,0.25174503438948526,0.32902101206539885,0.6709789879346011,2026-04-15T11:12:29,815
svm_C10p0_raw_20260415_111248,SVM,"C=10.0, use_normalized=False",0.728758,0.780818,0.728758,0.617309,0.7931418842704083,0.20685811572959162,0.33562600413730825,0.6643739958626917,2026-04-15T11:12:48,815
svm_C1p0_norm_20260415_111229,SVM,"C=1.0, use_normalized=True",0.709622,0.74086,0.709622,0.585331,0.7482549656105147,0.25174503438948526,0.3290105112830906,0.6709894887169094,2026-04-15T11:12:29,815
svm_C1p0_raw_20260415_111240,SVM,"C=1.0, use_normalized=False",0.728762,0.780816,0.728762,0.617309,0.793138550340672,0.20686144965932796,0.33561550335499996,0.6643844966450001,2026-04-15T11:12:40,815
