Model File,Model Type,Hyperparameters,Balanced Accuracy,Accuracy,Recall,Precision,F1 Macro,TN,FP,FN,TP,Saved At,Num Records
knn_k101_norm_20260422_095514,KNN,"n_neighbors=101, use_normalized=True",0.751186,0.736176,0.751186,0.600668,0.596146,0.7326232803868248,0.2673767196131753,0.23025065367369868,0.7697493463263013,2026-04-22T09:55:15,815
knn_k11_norm_20260422_095402,KNN,"n_neighbors=11, use_normalized=True",0.701046,0.682411,0.701046,0.575474,0.549049,0.6780001755869661,0.3219998244130339,0.2759080551501087,0.7240919448498914,2026-04-22T09:54:03,815
knn_k15_norm_20260422_095415,KNN,"n_neighbors=15, use_normalized=True",0.724229,0.728237,0.724229,0.590131,0.582695,0.7291859988286794,0.27081400117132065,0.28072791422961013,0.7192720857703899,2026-04-22T09:54:16,815
knn_k2001_norm_20260422_101415,KNN,"n_neighbors=2001, use_normalized=True",0.762553,0.75085,0.762553,0.607758,0.609144,0.748079378644402,0.25192062135559806,0.22297361153405929,0.7770263884659407,2026-04-22T10:14:16,815
knn_k201_norm_20260422_095607,KNN,"n_neighbors=201, use_normalized=True",0.758082,0.74571,0.758082,0.605057,0.60439,0.7427817642933903,0.25721823570660973,0.22661738299503312,0.7733826170049669,2026-04-22T09:56:08,815
knn_k21_norm_20260422_095422,KNN,"n_neighbors=21, use_normalized=True",0.720115,0.700283,0.720115,0.584123,0.564941,0.6955888775658756,0.3044111224341243,0.25535802417280085,0.7446419758271992,2026-04-22T09:54:23,815
knn_k3_norm_20260422_095339,KNN,"n_neighbors=3, use_normalized=True",0.685716,0.791668,0.685716,0.594032,0.606989,0.8167483294233746,0.18325167057662536,0.4453171761296217,0.5546828238703784,2026-04-22T09:53:40,815
knn_k501_norm_20260422_095944,KNN,"n_neighbors=501, use_normalized=True",0.763992,0.75347,0.763992,0.608888,0.611324,0.7509787862050878,0.2490212137949122,0.22299461309867585,0.7770053869013241,2026-04-22T09:59:45,815
knn_k51_norm_20260422_095427,KNN,"n_neighbors=51, use_normalized=True",0.740631,0.725177,0.740631,0.594999,0.586036,0.7215190717450566,0.27848092825494336,0.24025789921349142,0.7597421007865086,2026-04-22T09:54:28,815
knn_k5_norm_20260422_095347,KNN,"n_neighbors=5, use_normalized=True",0.702498,0.7427,0.702498,0.585723,0.583912,0.7522156741372623,0.24778432586273766,0.34721886780565153,0.6527811321943485,2026-04-22T09:53:48,815
knn_k7_norm_20260422_095400,KNN,"n_neighbors=7, use_normalized=True",0.706474,0.708539,0.706474,0.580758,0.565469,0.7090279483329796,0.29097205166702045,0.29608005796431835,0.7039199420356816,2026-04-22T09:54:01,815
knn_k901_norm_20260422_100357,KNN,"n_neighbors=901, use_normalized=True",0.763236,0.752595,0.763236,0.60842,0.610508,0.7500764025564574,0.24992359744354267,0.2236036584725562,0.7763963415274437,2026-04-22T10:03:58,815
